bits,Number of clients ($N$),protocol,Runtime (sec.)
256,10$^3$,Honest,28.481955036
256,10$^3$,20% malicious,28.43
256,10$^3$,40% malicious,28.31
256,10$^4$,Honest,37.739702737
256,10$^4$,20% malicious,37.493852104
256,10$^4$,40% malicious,37.192498272
256,10$^5$,Honest,105.21469904
256,10$^5$,20% malicious,94.730749356
256,10$^5$,40% malicious,90.367136577
256,10$^6$,Honest,744.487966914
256,10$^6$,20% malicious,703.294775025
256,10$^6$,40% malicious,565.492444999
